y.year,m.month,z.zip,sum(c.amount)
2015,1,21181,200
2015,1,11375,35
2015,1,17754,200
2015,1,77578,200
2015,1,23227,225
2015,2,10028,2500
2015,2,98589,2600
2015,2,22032,1000
2015,2,29730,2600
2015,2,10019,5200
2015,2,78411,5
2015,2,82009,15
2015,2,29407,1000
2015,2,60010,5200
2015,2,33480,1000
2015,2,60611,2700
2015,2,29021,1000
2015,2,29506,500
2015,2,11206,201
2015,2,20124,50
2015,2,29302,5200
2015,2,33483,5400
2015,2,29401,17500
2015,2,77059,25
2015,2,29078,2600
2015,2,78746,201
2015,2,68132,10
2015,2,29374,900
2015,2,77840,50
2015,2,29356,5200
2015,2,99516,100
2015,2,77068,100
2015,2,77077,25
2015,2,29607,6200
2015,2,74604,20
2015,2,47715,2500
2015,2,59935,100
2015,2,75205,201
2015,2,55126,40
2015,2,19382,1000
2015,2,29601,18750
2015,2,77080,50
2015,2,78605,25
2015,2,77379,50
2015,2,72211,5200
2015,2,77056,100
2015,2,29209,5200
2015,2,45242,100
2015,2,92649,100
2015,2,76087,200
2015,2,20007,100
2015,2,90265,25
2015,2,72223,13000
2015,2,60120,2500
2015,2,29212,100
2015,2,75946,0
2015,2,75605,50
2015,2,2117,2700
2015,2,22124,5200
2015,2,27615,350
2015,2,21173,5400
2015,2,64157,100
2015,2,10021,2600
2015,2,29412,100
2015,2,77474,200
2015,2,29708,250
2015,2,29376,4500
2015,2,29466,2600
2015,2,29681,5200
2015,2,96701,300
2015,2,75034,50
2015,2,76012,200
2015,2,83835,100
2015,2,78730,10
2015,2,29206,10550
2015,2,55110,600
2015,2,20120,200
2015,2,55119,100
2015,2,74561,50
2015,2,29128,2500
2015,2,29325,500
2015,2,68801,2600
2015,2,91105,2700
2015,2,37615,100
2015,2,29020,11800
2015,2,79059,20
2015,2,29678,100
2015,2,93109,2700
2015,2,40067,500
2015,2,76107,500
2015,2,29651,3400
2015,2,68831,1000
2015,2,68804,50
2015,2,17602,2600
2015,2,29920,100
2015,2,29615,7800
2015,2,79068,75
2015,2,10128,100
2015,2,29687,2600
2015,2,29229,200
2015,2,29609,2600
2015,2,29304,10400
2015,2,37190,5
2015,2,29501,1000
2015,2,77429,2625
2015,2,77007,201
2015,2,29205,15600
2015,2,72207,13000
2015,2,43031,5
2015,2,10804,1000
2015,2,76110,125
2015,2,20036,8032
2015,2,78227,250
2015,2,29223,11500
2015,2,19426,250
2015,2,74172,1000
2015,2,20003,1000
2015,2,33308,250
2015,2,77055,25
2015,2,73116,500
2015,2,91356,0
2015,2,47116,45
2015,2,76023,100
2015,2,90010,2700
2015,2,29603,2600
2015,2,94577,100
2015,2,30240,1000
2015,2,17015,50
2015,2,72201,2700
2015,2,91042,50
2015,2,90701,150
2015,2,29450,5200
2015,2,95501,250
2015,2,10065,5300
2015,2,90264,2700
2015,2,90004,2700
2015,2,77901,100
2015,2,87124,50
2015,2,64739,250
2015,2,69028,1000
2015,2,29202,8000
2015,2,66049,500
2015,2,90210,2700
2015,2,10603,25
2015,2,79202,2600
2015,2,75254,2850
2015,2,90049,3700
2015,2,33134,2600
2015,2,95354,65
2015,2,69165,100
2015,2,82901,50
2015,2,29644,300
2015,2,29402,10300
2015,2,92869,2016
2015,2,16635,100
2015,2,22314,250
2015,2,79761,100
2015,2,10543,500
2015,2,30075,2000
2015,2,40204,1000
2015,2,68313,2600
2015,2,80120,100
2015,2,10528,500
2015,2,32931,50
2015,2,10151,2500
2015,2,48138,50
2015,2,76247,500
2015,2,14610,1000
2015,2,77494,50
2015,2,29306,2500
2015,2,11560,250
2015,2,29602,5200
2015,2,81435,100
2015,2,85733,100
2015,2,85266,0
2015,2,24455,1000
2015,2,29605,22100
2015,2,72203,7900
2015,2,33131,5200
2015,2,29650,5200
2015,2,78726,100
2015,2,97405,5
2015,2,44256,75
2015,2,30305,2600
2015,2,80209,100
2015,2,36301,25
2015,2,29464,11400
2015,2,68312,1000
2015,2,96035,200
2015,2,90401,15
2015,2,76109,500
2015,2,76082,100
2015,2,28226,2600
2015,2,68806,1000
2015,2,77042,50
2015,2,29204,11400
2015,2,29240,2600
2015,2,29455,2600
2015,2,77024,100
2015,2,20854,150
2015,2,95437,25
2015,2,85541,100
2015,2,59729,85
2015,2,95033,50
2015,2,29413,1000
2015,2,29072,5200
2015,2,29512,1000
2015,2,29180,100
